発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
200301	電撃文庫	僕にお月様を見せないで (10)　オオカミは月夜に笑う	阿智太郎	宮須弥	4-8402-2261-4	0745	あ-7-25	227	
200301	電撃文庫	クッキング・オン！	栗府二郎	珠梨やすゆき	4-8402-2262-2	0746	く-1-7	415	
200301	電撃文庫	Missing 7　合わせ鏡の物語・完結編	甲田学人	翠川しん	4-8402-2263-0	0747	こ-6-7	289	
200301	電撃文庫	いぬかみっ！	有沢まみず	若月神無	4-8402-2264-9	0748	あ-13-4	301	
200301	電撃文庫	願望達成本舗　ライコにおまかせ！	あらいりゅうじ	マーシーラビット	4-8402-2266-5	0749	あ-5-7	205	
200301	電撃文庫	撃墜魔女ヒミカ	荻野目悠樹	近衛乙嗣	4-8402-2267-3	0750	お-5-1	270	
200301	電撃文庫	放課後のストレンジ　ユージュアル・デイズ	大崎皇一	山本京	4-8402-2268-1	0751	お-6-1	289	[第8回電撃ゲーム小説大賞＜三次選考作＞]
200301	電撃文庫	悪魔のミカタ (7)　番外編・ストレイキャット　リターン	うえお久光	藤田香	4-8402-2269-X	0752	う-1-7	240	
200301	富士見ファンタジア文庫	ザ・サード VI　異界の森の夢追い人 (下)	星野亮	後藤なお	4-8291-1479-7	877	94-9	251	
200301	富士見ファンタジア文庫	攻撃天使 1　～スーサイドホワイト～	高瀬ユウヤ	森田柚花	4-8291-1485-1	883	133-1	332	[第14回ファンタジア長編小説大賞＜準入選＞]
200301	富士見ファンタジア文庫	12月のベロニカ	貴子潤一郎	ともぞ	4-8291-1486-X	884	132-1	292	[第14回ファンタジア長編小説大賞＜大賞＞]
200301	富士見ファンタジア文庫	リアルバウトハイスクール〈アーリー・デイズ〉 1　ボーイ・ミーツ・サムライガール	雑賀礼史	いのうえ空	4-8291-1487-8	885	66-16	251	
200301	富士見ファンタジア文庫	ラキスにおまかせ　すべては勅命のままに	桑田淳	秕帷苓	4-8291-1488-6	886	134-1	329	[第14回ファンタジア長編小説大賞＜佳作＞]
200301	富士見ファンタジア文庫	武官弁護士エル・ウィン　かぎりなくクロに近いグレー	鏡貴也	義仲翔子	4-8291-1490-8	888	111-10	250	
200301	富士見ファンタジア文庫	ストレイト・ジャケット 5　ヨワムシノヤイバ～THE EDGE～	榊一郎	藤城陽	4-8291-1491-6	889	88-17	434	
200301	角川スニーカー文庫	トラブルシューター　シェリフスターズMS mission04	神坂一	光吉賢司	4-04-414615-2	12764	46-15	270	
200301	角川スニーカー文庫	シェアード・ワールド・ノベルズ　百鬼夜翔　空から奴がやってきた	川人忠明、北沢慶、友野祥	あるまじろう	4-04-415225-X	12765	52-24	296	
200301	角川スニーカー文庫	トリニティ・ブラッド　Reborn on the Mars IV　聖女の烙印	吉田直	THORES柴本	4-04-418409-7	12766	84-6	350	
200301	角川スニーカー文庫	ラグナロクEX.　THE LEGACY	安井健太郎	TASA	4-04-419217-0	12634	92-27	238	
200301	角川スニーカー文庫	さみしさの周波数	乙一	羽住都	4-04-425303-X	12767	134-3	205	
200301	角川スニーカー文庫	アウトニア王国再興録 3　でたまか　天下大乱編	鷹見一幸	Chiyoko	4-04-425706-X	12768	140-6	237	
